Ensembl98ID	SpeciesCommonName	NW_name	Order	Human_distance	Mouse_distance	Chicken_distance
mmusculus	Mouse	Mus musculus	Rodentia	0.20935553600000004	0.0	0.27432778299999994
mspicilegus	Steppe mouse	Mus spicilegus	Rodentia	0.20868846800000002	0.019934008	0.2736607149999999
mspretus	Algerian mouse	Mus spretus	Rodentia	0.209115548	0.020361088000000003	0.2740877949999999
mcaroli	Ryukyu mouse	Mus caroli	Rodentia	0.208583298	0.041638238	0.2735555449999999
mpahari	Shrew mouse	Mus pahari	Rodentia	0.207796998	0.07463573800000001	0.2727692449999999
rnorvegicus	Rat	Rattus norvegicus	Rodentia	0.211067598	0.124182338	0.2760398449999999
munguiculatus	Mongolian gerbil	Meriones unguiculatus	Rodentia	0.208245798	0.153780738	0.2732180449999999
pmbairdii	Northern American deer mouse	Peromyscus maniculatus bairdii	Rodentia	0.20936421100000002	0.15598574499999998	0.27433645799999995
cgpicr	Chinese hamster PICR	Cricetulus griseus picr	Rodentia	0.210077448	0.15669898200000001	0.27504969499999987
cgchok1gshd	Chinese hamster CHOK1GS	Cricetulus griseus chok1gshd	Rodentia	0.21052291300000003	0.157144447	0.27549515999999996
cgcrigri	Chinese hamster CriGri	Cricetulus griseus crigri	Rodentia	0.21089583500000003	0.157517369	0.2758680819999999
mochrogaster	Prairie vole	Microtus ochrogaster	Rodentia	0.212159901	0.15878143499999997	0.27713214799999986
mauratus	Golden Hamster	Mesocricetus auratus	Rodentia	0.214187911	0.16080944499999997	0.27916015799999994
ngalili	Upper Galilee mountains blind mole rat	Nannospalax galili	Rodentia	0.207902301	0.178332835	0.2728745479999999
jjaculus	Lesser Egyptian jerboa	Jaculus jaculus	Rodentia	0.204460161	0.194794575	0.2694324079999999
uparryii	Arctic ground squirrel	Urocitellus parryii	Rodentia	0.19952683499999999	0.20395554899999999	0.26449908199999994
mmmarmota	Alpine marmot	Marmota marmota marmota	Rodentia	0.199620671	0.204049385	0.26459291799999995
sdauricus	Daurian ground squirrel	Spermophilus dauricus	Rodentia	0.200477835	0.20490654900000002	0.265450082
itridecemlineatus	Squirrel	Ictidomys tridecemlineatus	Rodentia	0.200573921	0.20500263500000002	0.26554616799999997
dordii	Kangaroo rat	Dipodomys ordii	Rodentia	0.203436011	0.207864725	0.2684082579999999
ptephrosceles	Ugandan red Colobus	Piliocolobus tephrosceles	Primates	0.060363599999999996	0.208224156	0.25949944699999994
catys	Sooty mangabey	Cercocebus atys	Primates	0.060596039	0.208456595	0.25973188599999997
mfascicularis	Crab-eating macaque	Macaca fascicularis	Primates	0.060634545	0.20849510100000002	0.25977039199999996
mmulatta	Macaque	Macaca mulatta	Primates	0.060768845	0.208629401	0.259904692
rroxellana	Golden snub-nosed monkey	Rhinopithecus roxellana	Primates	0.06081375000000001	0.208674306	0.2599495969999999
panubis	Olive baboon	Papio anubis	Primates	0.060895410000000004	0.20875596600000002	0.26003125699999996
csabaeus	Vervet-AGM	Chlorocebus sabaeus	Primates	0.060895740000000004	0.208756296	0.26003158699999995
tgelada	Gelada	Theropithecus gelada	Primates	0.060917410000000005	0.208777966	0.2600532569999999
mmurinus	Mouse Lemur	Microcebus murinus	Primates	0.15228778999999998	0.209066946	0.2603422369999999
ptroglodytes	Chimpanzee	Pan troglodytes	Primates	0.01307599	0.20923460600000002	0.26050989699999993
nleucogenys	Gibbon	Nomascus leucogenys	Primates	0.03924789	0.209354446	0.2606297369999999
hsapiens	Human	Homo sapiens	Primates	0.0	0.209355536	0.26063082699999995
